item;qtd_cx
PG24LP255SDE0;30
81102109901;0
PG23LP255SDI0;22
81102110101;0
PG24LP261SDA0;80
PG24LP261SDC0;70
PG24LP261SDG0;65
PG24LP261SDH0;70
PG24LP261SDI0;65
PG24LP261SDM0;45
PG24LP261SDP0;55
PG24LP261SDW0;100
81102110102;0
PG24LP262SDA0;95
PG24LP262SDC0;75
PG24LP262SDG0;75
PG24LP262SDH0;75
PG24LP262SDI0;80
PG24LP262SDM0;55
PG24LP262SDP0;70
PG24LA214DB00;0
PG24FA214DB00;0
91101068901;0
701270305;0
701270306;0
91101069101;26
PG23CA155DBM1;26
91101069201;0
PG23CA155DBP1;26
91101069601;27
PG23CA215DBM2;27
91101069701;0
PG23CA215DBP2;24
91101069801;0
PG24LA215DBE0;38
91101069901;34
PG23LA215DBI0;34
91101070101;10
PG24LA221DB00;10
PG24FA221DB00;10
91101070102;11
PG24LA222DB00;0
PG24FA222DB00;0
91101070103;10
PG24LA223DB00;0
PG24FA223DB00;0
91101070104;12
PG24LA224DB00;0
PG24FA224DB00;0
91101078901;0
701270327;0
701270328;0
91101079101;27
PG23CA215DBM2;27
91101079201;0
PG23CA215DBP2;24
91101079301;0
PG23CA155DBM1;26
91101079401;0
PG23CA155DBP1;26
91101079801;0
PG24LA225DBE0;38
91101079901;34
PG23LA225DBI0;34
91101157901;45
PG23LA335DBM0;34
91101158001;43
PG23LA335DBF0;43
91101158101;0
PG23LA335DBW2;42
91101158201;0
PG23LA335DBW1;45
91101158301;0
PG23LA335DBS2;32
91101158401;0
PG23LA335DBS1;27
91101158501;0
PG23LA335DBA2;23
91101158601;19
PG23LA335DBA1;23
91101158701;0
PG23LA335DBE2;23
91101158801;23
PG23LA335DBE1;23
91101159303;0
PG24EA445DB00;17
91101159401;54
PG23LA336DBC0;54
91101159403;0
PG23LA337DBC0;0
91101159501;54
PG23LA336DBB0;54
91101159503;0
PG23LA337DBB0;0
91101159601;40
PG23LA335DBW0;40
91101159701;30
PG23LA335DBS0;30
91101159801;21
PG23LA335DBA0;21
91101159901;21
PG23LA335DBE0;21
91101160101;8
PG24LA321DB01;0
91101160102;9
PG24LA322DB01;0
91101160103;9
PG24LA323DB01;0
91101160104;8
PG24LA324DB01;0
91101167801;0
PG23LA335DBH0;65
91101167901;45
PG23LA335DBM0;34
91101168001;43
PG23LA335DBF0;43
91101168101;0
PG23LA336DBC0;54
91101168103;0
PG23LA337DBC0;0
91101168201;0
PG23LA336DBB0;54
91101168203;0
PG23LA337DBB0;0
91101168301;0
PG23LA335DBW2;42
91101168401;0
PG23LA335DBW1;45
PG23LA335DBS0;30
91101169801;23
PG23LA335DBA1;19
91101169901;21
PG23LA335DBE0;21
91101880101;0
PG24LA331DB00;0
91101880102;0
PG24LA332DB00;0
91101880103;0
PG24LA333DB00;0
91101880104;0
PG24LA334DB00;0
91101887701;0
PG24LA336DBC2;0
91101887703;0
91102109601;0
701275198;0
701275199;0
91102109701;0
PG24LP475SD00;50
91102109801;0
PG24LP255SDE0;30
91102109901;0
PG23LP255SDI0;22
91102110101;0
PG24LP261SDA0;80
PG24LP261SDC0;70
PG24LP261SDG0;65
PG24LP261SDH0;70
PG24LP261SDI0;65
PG24LP261SDM0;45
PG24LP261SDP0;55
